kode_kabupaten_kota,nama_kabupaten_kota,tahun,tpt,ppm,ppk,ikk,ipm
3201,KABUPATEN BOGOR,2020,14.29,7.69,10317,0.11,71.63
3202,KABUPATEN SUKABUMI,2020,9.6,7.09,8823,0.12,68.14
3203,KABUPATEN CIANJUR,2020,11.05,10.36,7980,0.27,66.96
3204,KABUPATEN BANDUNG,2020,8.58,6.91,10201,0.17,72.69
3205,KABUPATEN GARUT,2020,8.96,9.98,7876,0.15,67.2
3206,KABUPATEN TASIKMALAYA,2020,7.12,10.34,7852,0.11,67.22
3207,KABUPATEN CIAMIS,2020,5.66,7.62,9288,0.16,71.57
3208,KABUPATEN KUNINGAN,2020,11.22,12.82,9459,0.62,69.66
3209,KABUPATEN CIREBON,2020,11.52,11.24,10342,0.24,69.61
3210,KABUPATEN MAJALENGKA,2020,5.84,11.43,9521,0.25,69.2
3211,KABUPATEN SUMEDANG,2020,9.89,10.26,10217,0.42,72.48
3212,KABUPATEN INDRAMAYU,2020,9.21,12.7,9859,0.56,68.25
3213,KABUPATEN SUBANG,2020,9.48,9.31,10790,0.25,69.66
3214,KABUPATEN PURWAKARTA,2020,11.07,8.27,11614,0.2,72.15
3215,KABUPATEN KARAWANG,2020,11.52,8.26,11315,0.25,71.56
3216,KABUPATEN BEKASI,2020,11.54,4.82,11241,0.18,74.47
3217,KABUPATEN BANDUNG BARAT,2020,12.25,10.49,8455,0.25,68.81
3218,KABUPATEN PANGANDARAN,2020,5.08,8.99,9084,0.28,69.24
3271,KOTA BOGOR,2020,12.68,6.68,11564,0.26,76.63
3272,KOTA SUKABUMI,2020,12.17,7.7,10999,0.22,75.06
3273,KOTA BANDUNG,2020,11.19,3.99,16887,0.13,81.78
3274,KOTA CIREBON,2020,10.97,9.52,11800,0.4,75.91
3275,KOTA BEKASI,2020,10.68,4.38,15776,0.15,81.5
3276,KOTA DEPOK,2020,9.87,2.45,15281,0.06,81.14
3277,KOTA CIMAHI,2020,13.3,5.11,12025,0.18,78.09
3278,KOTA TASIKMALAYA,2020,7.99,12.97,10263,0.39,74.04
3279,KOTA BANJAR,2020,6.73,6.09,10535,0.12,73.08
3201,KABUPATEN BOGOR,2021,12.22,8.13,10410,0.35,71.83
3202,KABUPATEN SUKABUMI,2021,9.51,7.7,8850,0.23,68.33
3203,KABUPATEN CIANJUR,2021,9.32,11.18,8052,0.46,67.16
3204,KABUPATEN BANDUNG,2021,8.32,7.15,10307,0.34,73.03
3205,KABUPATEN GARUT,2021,8.68,10.65,7961,0.29,67.53
3206,KABUPATEN TASIKMALAYA,2021,6.16,11.15,7829,0.35,67.43
3207,KABUPATEN CIAMIS,2021,5.06,7.97,9259,0.15,72.0
3208,KABUPATEN KUNINGAN,2021,11.68,13.1,9409,0.46,69.99
3209,KABUPATEN CIREBON,2021,10.38,12.3,10368,0.47,69.99
3210,KABUPATEN MAJALENGKA,2021,5.71,12.33,9591,0.77,69.42
3211,KABUPATEN SUMEDANG,2021,9.18,10.71,10262,0.46,72.64
3212,KABUPATEN INDRAMAYU,2021,8.3,13.04,9810,0.66,68.6
3213,KABUPATEN SUBANG,2021,9.77,10.03,10854,0.5,69.84
3214,KABUPATEN PURWAKARTA,2021,10.7,8.83,11669,0.3,72.31
3215,KABUPATEN KARAWANG,2021,11.83,8.95,11522,0.29,71.84
3216,KABUPATEN BEKASI,2021,10.09,5.21,11341,0.26,74.84
3217,KABUPATEN BANDUNG BARAT,2021,11.65,11.3,8546,0.32,69.03
3218,KABUPATEN PANGANDARAN,2021,3.25,9.65,9065,0.27,69.46
3271,KOTA BOGOR,2021,11.79,7.24,11716,0.27,77.11
3272,KOTA SUKABUMI,2021,10.78,8.25,10942,0.36,75.44
3273,KOTA BANDUNG,2021,11.46,4.37,16996,0.24,82.23
3274,KOTA CIREBON,2021,10.53,10.03,11810,0.68,76.26
3275,KOTA BEKASI,2021,10.88,4.74,15903,0.16,81.99
3276,KOTA DEPOK,2021,9.76,2.58,15420,0.07,81.54
3277,KOTA CIMAHI,2021,13.07,5.35,12019,0.21,78.31
3278,KOTA TASIKMALAYA,2021,7.66,13.13,10213,0.69,74.31
3279,KOTA BANJAR,2021,6.09,7.11,10476,0.28,73.3
3201,KABUPATEN BOGOR,2022,10.64,7.73,10860,0.45,72.45
3202,KABUPATEN SUKABUMI,2022,7.77,7.34,9210,0.19,68.87
3203,KABUPATEN CIANJUR,2022,8.41,10.55,8244,0.27,67.55
3204,KABUPATEN BANDUNG,2022,6.98,6.8,10588,0.21,73.46
3205,KABUPATEN GARUT,2022,7.6,10.42,8227,0.45,68.51
3206,KABUPATEN TASIKMALAYA,2022,4.17,10.73,8177,0.28,68.45
3207,KABUPATEN CIAMIS,2022,3.75,7.72,9428,0.24,72.52
3208,KABUPATEN KUNINGAN,2022,9.81,12.76,9620,0.53,70.44
3209,KABUPATEN CIREBON,2022,8.11,12.01,10791,0.59,70.92
3210,KABUPATEN MAJALENGKA,2022,4.16,11.94,9950,0.36,70.18
3211,KABUPATEN SUMEDANG,2022,7.72,10.14,10776,0.53,73.53
3212,KABUPATEN INDRAMAYU,2022,6.49,12.77,10166,0.48,69.52
3213,KABUPATEN SUBANG,2022,7.77,9.75,11294,0.41,70.54
3214,KABUPATEN PURWAKARTA,2022,8.75,8.7,12193,0.25,72.89
3215,KABUPATEN KARAWANG,2022,9.87,8.44,11927,0.41,72.64
3216,KABUPATEN BEKASI,2022,10.31,5.01,11757,0.18,75.6
3217,KABUPATEN BANDUNG BARAT,2022,9.63,10.82,9044,0.41,69.82
3218,KABUPATEN PANGANDARAN,2022,1.56,9.32,9389,0.26,70.21
3271,KOTA BOGOR,2022,10.78,7.1,12058,0.29,77.68
3272,KOTA SUKABUMI,2022,8.83,8.02,11229,0.38,76.24
3273,KOTA BANDUNG,2022,9.55,4.25,17639,0.17,82.75
3274,KOTA CIREBON,2022,8.42,9.82,12087,0.3,76.89
3275,KOTA BEKASI,2022,8.81,4.43,16239,0.27,82.52
3276,KOTA DEPOK,2022,7.82,2.53,15926,0.1,82.02
3277,KOTA CIMAHI,2022,10.77,5.11,12500,0.14,79.01
3278,KOTA TASIKMALAYA,2022,6.62,12.72,10578,0.65,74.84
3279,KOTA BANJAR,2022,5.53,6.73,10967,0.28,73.93
